species_id,name,description,url
001,bulbasaur,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon)
002,ivysaur,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon)
003,venusaur,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)
004,charmander,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon)
005,charmeleon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon)
006,charizard,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)
007,squirtle,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon)
008,wartortle,It cleverly controls its furry ears and tail to maintain its balance while swimming.,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon)
009,blastoise,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)
010,caterpie,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon)
011,metapod,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.",https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon)
012,butterfree,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon)
013,weedle,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon)
014,kakuna,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon)
015,beedrill,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon)
016,pidgey,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon)
017,pidgeotto,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon)
018,pidgeot,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon)
019,rattata,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)
020,raticate,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon)
021,spearow,"Inept at flying high. However, it can fly around very fast to protect its territory.",https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon)
022,fearow,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon)
023,ekans,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon)
024,arbok,The frightening patterns on its belly have been studied. Six variations have been confirmed.,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon)
025,pikachu,Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)
026,raichu,"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland.",https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon)
027,sandshrew,"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging.",https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)
028,sandslash,"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree.",https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)
029,nidoran-f,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon)
030,nidorina,"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.",https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon)
031,nidoqueen,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon)
032,nidoran-m,"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.",https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon)
033,nidorino,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon)
034,nidoking,"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.",https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon)
035,clefairy,"It can be found in quiet mountain areas on a full moon's night. Its dancing and its tiny, faintly glowing wings confer upon it a lovely fairylike quality.",https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon)
036,clefable,"Legend says that on clear, quiet nights, it listens for the voices of its kin living on the moon. I, too, often think of my homeland, so far away.",https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon)
037,vulpix,"In its belly burns a fire, which Vulpix spits out in the form of fireballs. When young, this Pokémon has but one white tail. As the Pokémon matures, this single tail splits into six.",https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)
038,ninetales,The coat of gleaming golden fur is quite magnificent. This species is said to store sacred power in its nine long tails and to live for a millennium.,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)
039,jigglypuff,"By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy.",https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon)
040,wigglytuff,"It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly.",https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon)
041,zubat,"Makes its home in gloomy caves. Atrophied eyes have left this Pokémon blind, so it scans its surroundings via sound waves that it emits from its mouth as it flies.",https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon)
042,golbat,It sinks its sharp fangs into other creatures and slurps up their blood. A closer look at the fangs reveals that they are hollow and akin to straws.,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)
043,oddish,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
044,gloom,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
045,vileplume,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
046,paras,Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
047,parasect,"Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect's actions.",https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
048,venonat,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
049,venomoth,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
050,diglett,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.",https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
051,dugtrio,These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground.,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
052,meowth,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
053,persian,Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain.,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
054,psyduck,"Suffers perpetual headaches. If the agony grows too great, Psyduck's latent power erupts, contrary to Psyduck's intent. Ergo, I am exploring ways to ease the pain.",https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
055,golduck,"Its body is strong, and it has webbing on its hands and feet. Golduck can swim easily through rough seas, clawing its way through the high waves.",https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
056,mankey,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
057,primeape,It stops being angry only when nobody else is around. To view this moment is very difficult.,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
058,growlithe,They patrol their territory in pairs. I believe the igneous rock components in the fur of this species are the result of volcanic activity in its habitat.,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
059,arcanine,"Snaps at its foes with fangs cloaked in blazing flame. Despite its bulk, it deftly feints every which way, leading opponents on a deceptively merry chase as it all but dances around them.",https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
060,poliwag,"In rivers with fast-flowing water, this Pokémon will cling to a rock by using its thick lips, which act like a suction cup.",https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
061,poliwhirl,"This Pokémon’s sweat is a slimy mucus. When captured, Poliwhirl can slither from its enemies’ grasp and escape.",https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
062,poliwrath,Poliwrath is skilled at both swimming and martial arts. It uses its well-trained arms to dish out powerful punches.,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
063,abra,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away.",https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
064,kadabra,"There are rumors that a child with mystical powers became a Kadabra; however, this remains unverified. I suspect that the spoon Kadabra holds enhances its brain waves.",https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)
065,alakazam,"The longer Alakazam lives, the larger and heavier its head becomes. Our tests have shown that the strength of its psychic powers correlates positively to the weight of its head.",https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
066,machop,"Though as small as a child, it has strength enough to easily throw a well-built adult. Striving to become ever stronger, Machop trains by carrying a Graveler on its shoulders.",https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)
067,machoke,A sturdy creature boasting a robust physique and boundless stamina. Loves training above all else and voluntarily assists with tasks such as construction and clearing land.,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon)
